t_center_s,dt_contact_s,a_xy_peak_m_s2,dv_h_endpoints_m_s,dv_h_integral_m_s,F_peak_N,F_avg_from_impulse_N,v_before_m_s,v_after_m_s,i_seed
26.239681,0.080074,3.9393,0.0000,0.0000,47.1,0.0,0.7782,0.8648,1303
27.479825,0.020098,12.6013,0.0000,0.0000,150.6,0.0,1.5346,1.5346,1373
27.599702,0.020005,6.5760,0.0000,0.0000,78.6,0.0,1.1265,1.1265,1390
27.720059,0.120395,5.6385,0.3974,0.3715,67.4,39.4,1.0384,0.6410,1397
28.759992,0.059639,2.5678,0.0000,0.0040,30.7,0.8,0.4578,0.4592,1430
28.820123,0.159995,1.4463,0.0000,0.0000,17.3,0.0,0.4656,0.4825,1451
28.939711,0.300011,1.0003,0.1345,0.1285,12.0,5.4,0.4701,0.3356,1456
29.820067,0.100004,1.5533,0.0000,0.0001,18.6,0.0,0.1567,0.1636,1481
30.179676,0.019933,8.5862,0.0594,0.0000,102.6,35.6,0.3079,0.2484,1503
33.759763,5.779716,0.8317,0.0525,0.0519,9.9,0.1,0.2633,0.2108,1696
